Level,Date and Time,Source,Event ID,Task Category
Warning,16/01/2023 20:08:52,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16/01/2023 20:06:47,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Error,16/01/2023 20:06:04,Microsoft-Windows-DistributedCOM,10010,None,The server {8CFC164F-4BE5-4FDD-94E9-E2AF73ED4A19} did not register with DCOM within the required timeout.
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎16T20:05:25.329193300Z from ‎2023‎-‎01‎-‎16T20:05:25.328808100Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 4556).

RTC time: ‎2023‎-‎01‎-‎16T20:05:25.329193300Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 0.
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎16T20:05:25.245188600Z from ‎2023‎-‎01‎-‎16T20:05:25.244623400Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 4556).

RTC time: ‎2023‎-‎01‎-‎16T20:05:25.245188600Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 0.
Information,16/01/2023 20:05:25,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123) with reference id 494637363. Current local stratum number is 4."
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎16T20:05:25.161059100Z from ‎2023‎-‎01‎-‎16T20:05:34.752231300Z.
Time Delta: -9591 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 4556).

RTC time: ‎2023‎-‎01‎-‎16T20:05:25.161059100Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,16/01/2023 20:05:25,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 0.
Information,16/01/2023 20:05:18,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
Information,16/01/2023 20:05:04,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2284.0)
Information,16/01/2023 20:05:00,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.381.2284.0)
Information,16/01/2023 20:05:00,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Warning,16/01/2023 20:04:53,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,16/01/2023 20:04:52,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,16/01/2023 20:04:51,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16/01/2023 20:04:49,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,16/01/2023 20:04:37,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,16/01/2023 20:04:36,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,16/01/2023 20:04:36,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎15T21:34:55.006630900Z
Wake Time: ‎2023‎-‎01‎-‎16T20:04:35.599797300Z

Wake Source: Unknown"
Warning,16/01/2023 20:04:36,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,16/01/2023 20:04:36,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,16/01/2023 20:04:36,Microsoft-Windows-Winlogon,7001,(1101),User Log-on Notification for Customer Experience Improvement Program
Warning,16/01/2023 20:04:35,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,16/01/2023 20:04:35,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 111 to 113.

Reason Unknown 

BootId: 12"
Information,16/01/2023 20:04:35,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Warning,16/01/2023 20:04:35,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,16/01/2023 20:04:35,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 110 to 111.

Reason SxTransition 

BootId: 12"
Information,16/01/2023 20:04:35,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,16/01/2023 20:04:35,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,16/01/2023 20:04:35,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Warning,16/01/2023 20:04:34,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,16/01/2023 20:04:34,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,16/01/2023 20:04:34,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,16/01/2023 20:04:34,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎16T20:04:34.500000000Z from ‎2023‎-‎01‎-‎15T21:34:57.032327300Z.
Time Delta: 80977467 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎01‎-‎16T20:04:34.500000000Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,15/01/2023 21:34:57,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,16/01/2023 20:04:35,EventLog,6013,None,The system uptime is 121838 seconds.
Information,15/01/2023 21:34:55,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,15/01/2023 21:34:55,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 109 to 110.

Reason InputAccelerometer 

BootId: 12"
Information,15/01/2023 21:34:55,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,15/01/2023 21:34:54,Microsoft-Windows-Winlogon,7002,(1102),User Log-off Notification for Customer Experience Improvement Program
Information,15/01/2023 21:34:51,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-TBPOCIG) has initiated the power off of computer DESKTOP-TBPOCIG on behalf of user DESKTOP-TBPOCIG\Abdo for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shut-down Type: power off
 Comment: "
Information,15/01/2023 21:34:41,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 107 to 109.

Reason InputAccelerometer 

BootId: 12"
Information,15/01/2023 21:27:17,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 106 to 107.

Reason SessionUnlock 

BootId: 12"
Information,15/01/2023 21:26:20,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,15/01/2023 21:26:09,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 21:26:05,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎15T21:12:59.933276200Z
Wake Time: ‎2023‎-‎01‎-‎15T21:26:04.344542700Z

Wake Source: Device -USB Composite Device"
Warning,15/01/2023 21:26:04,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 21:26:04,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 104 to 106.

Reason Unknown 

BootId: 12"
Information,15/01/2023 21:26:04,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 103 to 104.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 21:26:04,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,15/01/2023 21:26:03,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,15/01/2023 21:26:03,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,15/01/2023 21:26:03,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 21706049, SuspendEnd: 21706050"
Information,15/01/2023 21:26:03,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 16, FullResume: 2438, AverageResume: 2439"
Information,15/01/2023 21:26:03,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎15T21:26:03.500000000Z from ‎2023‎-‎01‎-‎15T21:13:03.062556500Z.
Time Delta: 780437 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎01‎-‎15T21:26:03.500000000Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,15/01/2023 21:13:03,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,15/01/2023 21:13:01,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,15/01/2023 21:12:59,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 101 to 103.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 21:11:28,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,15/01/2023 21:11:19,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,15/01/2023 21:10:38,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,15/01/2023 21:10:28,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,15/01/2023 21:10:24,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,15/01/2023 21:10:23,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,15/01/2023 21:09:24,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,15/01/2023 21:09:12,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  MpKsl21255279
Service File Name:  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{3794CDD4-CCBC-421E-9EA3-A87EB2CB301B}\MpKslDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,15/01/2023 21:09:00,Service Control Manager,7040,None,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,15/01/2023 21:09:00,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.145.123.29:123)."
Information,15/01/2023 21:09:00,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,15/01/2023 20:59:37,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,15/01/2023 20:58:34,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 100 to 101.

Reason SessionUnlock 

BootId: 12"
Information,15/01/2023 20:57:36,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 20:57:34,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎15T20:43:18.043341600Z
Wake Time: ‎2023‎-‎01‎-‎15T20:57:33.351832400Z

Wake Source: Device -USB Composite Device"
Warning,15/01/2023 20:57:33,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 20:57:33,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 98 to 100.

Reason Unknown 

BootId: 12"
Information,15/01/2023 20:57:33,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 97 to 98.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 20:57:33,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,15/01/2023 20:57:33,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,15/01/2023 20:57:32,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,15/01/2023 20:57:32,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,15/01/2023 20:57:32,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 20781915, SuspendEnd: 20781916"
Information,15/01/2023 20:57:32,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 15, FullResume: 2438, AverageResume: 2439"
Information,15/01/2023 20:57:32,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎15T20:57:32.500000000Z from ‎2023‎-‎01‎-‎15T20:43:20.606836400Z.
Time Delta: 851893 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎01‎-‎15T20:57:32.500000000Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,15/01/2023 20:43:20,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,15/01/2023 20:43:19,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,15/01/2023 20:43:18,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 95 to 97.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 20:29:16,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 94 to 95.

Reason SessionUnlock 

BootId: 12"
Information,15/01/2023 20:28:18,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 20:28:16,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎15T20:25:26.808601500Z
Wake Time: ‎2023‎-‎01‎-‎15T20:28:15.370888600Z

Wake Source: Device -USB Composite Device"
Warning,15/01/2023 20:28:15,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 20:28:15,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 92 to 94.

Reason Unknown 

BootId: 12"
Information,15/01/2023 20:28:15,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 91 to 92.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 20:28:15,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,15/01/2023 20:28:14,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,15/01/2023 20:28:14,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,15/01/2023 20:28:14,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 19882160, SuspendEnd: 19882161"
Information,15/01/2023 20:28:14,Microsoft-Windows-Kernel-Power,131,(33),"Firmware S3 times. ResumeCount: 14, FullResume: 2438, AverageResume: 2439"
Information,15/01/2023 20:28:14,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎01‎-‎15T20:28:14.500000000Z from ‎2023‎-‎01‎-‎15T20:25:33.464448800Z.
Time Delta: 161035 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎01‎-‎15T20:28:14.500000000Z
Current time zone bias: 0
RTC time is in UTC: false
System time was based on RTC time: false"
Information,15/01/2023 20:25:33,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,15/01/2023 20:25:31,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,15/01/2023 20:25:26,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 90 to 91.

Reason InputAccelerometer 

BootId: 12"
Information,15/01/2023 20:25:26,Microsoft-Windows-Kernel-Power,187,(243),User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Warning,15/01/2023 19:38:35,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,15/01/2023 19:36:28,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-TBPOCIG\Abdo SID (S-1-5-21-1394681546-3843053835-3284470220-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,15/01/2023 19:33:45,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 88 to 90.

Reason InputAccelerometer 

BootId: 12"
Information,15/01/2023 19:26:15,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 87 to 88.

Reason SessionUnlock 

BootId: 12"
Information,15/01/2023 19:25:18,e2fexpress,32,None,"The description for Event ID 32 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 19:25:16,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎01‎-‎15T19:08:55.987814500Z
Wake Time: ‎2023‎-‎01‎-‎15T19:25:15.333520000Z

Wake Source: Device -Intel(R) USB 3.20 eXtensible Host Controller - 1.20 (Microsoft)"
Warning,15/01/2023 19:25:15,e2fexpress,27,None,"The description for Event ID 27 from source e2fexpress cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Intel(R) Ethernet Controller (3) I225-V

The message resource is present but the message was not found in the message table
"
Information,15/01/2023 19:25:15,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 85 to 87.

Reason Unknown 

BootId: 12"
Information,15/01/2023 19:25:15,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 84 to 85.

Reason SxTransition 

BootId: 12"
Information,15/01/2023 19:25:15,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during start-up.
Information,15/01/2023 19:25:14,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,15/01/2023 19:25:14,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,15/01/2023 19:25:14,Microsoft-Windows-Kernel-Power,130,(33),"Firmware S3 times. SuspendStart: 16288063, SuspendEnd: 16288065"
